Id;Marker;Active;Origin;End
0;5;1;0;1
1;5;1;1;2
2;5;1;2;3
3;5;1;3;4
4;5;1;4;5
5;5;1;5;6
6;0;1;7;8
7;0;1;8;9
8;0;1;9;10
9;0;1;10;11
10;0;1;11;12
11;0;1;12;13
12;0;1;14;15
13;0;1;15;16
14;0;1;16;17
15;0;1;17;18
16;0;1;18;19
17;0;1;19;20
18;0;1;21;22
19;0;1;22;23
20;0;1;23;24
21;0;1;24;25
22;0;1;25;26
23;0;1;26;27
24;0;1;28;29
25;0;1;29;30
26;0;1;30;31
27;0;1;31;32
28;0;1;32;33
29;0;1;33;34
30;0;1;35;36
31;0;1;36;37
32;0;1;37;38
33;0;1;38;39
34;0;1;39;40
35;0;1;40;41
36;7;1;42;43
37;7;1;43;44
38;7;1;44;45
39;7;1;45;46
40;7;1;46;47
41;7;1;47;48
42;8;1;0;7
43;0;1;1;8
44;0;1;2;9
45;0;1;3;10
46;0;1;4;11
47;0;1;5;12
48;6;1;6;13
49;8;1;7;14
50;0;1;8;15
51;0;1;9;16
52;0;1;10;17
53;0;1;11;18
54;0;1;12;19
55;6;1;13;20
56;8;1;14;21
57;0;1;15;22
58;0;1;16;23
59;0;1;17;24
60;0;1;18;25
61;0;1;19;26
62;6;1;20;27
63;8;1;21;28
64;0;1;22;29
65;0;1;23;30
66;0;1;24;31
67;0;1;25;32
68;0;1;26;33
69;6;1;27;34
70;8;1;28;35
71;0;1;29;36
72;0;1;30;37
73;0;1;31;38
74;0;1;32;39
75;0;1;33;40
76;6;1;34;41
77;8;1;35;42
78;0;1;36;43
79;0;1;37;44
80;0;1;38;45
81;0;1;39;46
82;0;1;40;47
83;6;1;41;48
84;0;1;0;49
85;0;1;49;8
86;0;1;1;50
87;0;1;50;9
88;0;1;2;51
89;0;1;51;10
90;0;1;3;52
91;0;1;52;11
92;0;1;4;53
93;0;1;53;12
94;0;1;5;54
95;0;1;54;13
96;0;1;7;55
97;0;1;55;15
98;0;1;8;56
99;0;1;56;16
100;0;1;9;57
101;0;1;57;17
102;0;1;10;58
103;0;1;58;18
104;0;1;11;59
105;0;1;59;19
106;0;1;12;60
107;0;1;60;20
108;0;1;14;61
109;0;1;61;22
110;0;1;15;62
111;0;1;62;23
112;0;1;16;63
113;0;1;63;24
114;0;1;17;64
115;0;1;64;25
116;0;1;18;65
117;0;1;65;26
118;0;1;19;66
119;0;1;66;27
120;0;1;21;67
121;0;1;67;29
122;0;1;22;68
123;0;1;68;30
124;0;1;23;69
125;0;1;69;31
126;0;1;24;70
127;0;1;70;32
128;0;1;25;71
129;0;1;71;33
130;0;1;26;72
131;0;1;72;34
132;0;1;28;73
133;0;1;73;36
134;0;1;29;74
135;0;1;74;37
136;0;1;30;75
137;0;1;75;38
138;0;1;31;76
139;0;1;76;39
140;0;1;32;77
141;0;1;77;40
142;0;1;33;78
143;0;1;78;41
144;0;1;35;79
145;0;1;79;43
146;0;1;36;80
147;0;1;80;44
148;0;1;37;81
149;0;1;81;45
150;0;1;38;82
151;0;1;82;46
152;0;1;39;83
153;0;1;83;47
154;0;1;40;84
155;0;1;84;48
156;0;1;0;85
157;0;1;85;8
158;0;1;1;86
159;0;1;86;9
160;0;1;2;87
161;0;1;87;10
162;0;1;3;88
163;0;1;88;11
164;0;1;4;89
165;0;1;89;12
166;0;1;5;90
167;0;1;90;13
168;0;1;7;91
169;0;1;91;15
170;0;1;8;92
171;0;1;92;16
172;0;1;9;93
173;0;1;93;17
174;0;1;10;94
175;0;1;94;18
176;0;1;11;95
177;0;1;95;19
178;0;1;12;96
179;0;1;96;20
180;0;1;14;97
181;0;1;97;22
182;0;1;15;98
183;0;1;98;23
184;0;1;16;99
185;0;1;99;24
186;0;1;17;100
187;0;1;100;25
188;0;1;18;101
189;0;1;101;26
190;0;1;19;102
191;0;1;102;27
192;0;1;21;103
193;0;1;103;29
194;0;1;22;104
195;0;1;104;30
196;0;1;23;105
197;0;1;105;31
198;0;1;24;106
199;0;1;106;32
200;0;1;25;107
201;0;1;107;33
202;0;1;26;108
203;0;1;108;34
204;0;1;28;109
205;0;1;109;36
206;0;1;29;110
207;0;1;110;37
208;0;1;30;111
209;0;1;111;38
210;0;1;31;112
211;0;1;112;39
212;0;1;32;113
213;0;1;113;40
214;0;1;33;114
215;0;1;114;41
216;0;1;35;115
217;0;1;115;43
218;0;1;36;116
219;0;1;116;44
220;0;1;37;117
221;0;1;117;45
222;0;1;38;118
223;0;1;118;46
224;0;1;39;119
225;0;1;119;47
226;0;1;40;120
227;0;1;120;48
