Id;Num3DNeighbours;3DNeighbours
416;2;88;255
417;1;210
418;1;88
419;2;88;228
420;2;211;255
421;2;154;158
422;2;158;257
423;2;155;211
424;2;211;257
425;2;157;211
426;2;0;157
427;2;159;244
428;2;63;158
429;2;0;158
430;2;164;244
431;2;88;159
432;2;88;211
433;1;173
434;1;181
435;2;35;181
436;2;35;198
437;2;176;191
438;2;35;176
439;2;24;191
440;2;24;35
441;2;173;191
442;2;35;173
443;2;182;191
444;2;35;182
445;1;191
446;1;35
447;2;176;198
448;2;24;198
449;1;173
450;2;35;191
451;2;182;220
452;2;2;182
453;2;5;221
454;2;5;231
455;2;223;284
456;2;5;174
457;2;5;214
458;2;214;284
459;2;217;231
460;2;231;232
461;2;165;217
462;2;175;232
463;2;175;213
464;2;165;231
465;2;3;214
466;2;3;221
467;2;3;37
468;1;3
469;1;220
470;2;3;218
471;1;37
472;2;3;220
473;2;174;230
474;2;193;229
475;2;193;230
476;2;193;216
477;2;193;224
478;2;224;288
479;2;174;199
480;2;175;199
481;2;2;174
482;2;2;175
483;2;174;221
484;2;175;221
485;2;174;229
486;2;175;229
487;2;174;216
488;2;175;216
489;2;174;231
490;2;175;231
491;2;176;199
492;2;2;176
493;2;229;231
494;2;2;219
495;2;2;217
496;2;2;220
497;2;2;37
498;2;37;218
499;2;2;221
500;2;180;219
501;2;37;220
502;2;2;218
503;2;165;291
504;2;165;254
505;2;169;254
506;2;254;290
507;2;285;290
508;2;125;169
509;2;125;290
510;2;165;232
511;1;195
512;1;200
513;2;47;199
514;2;41;47
515;2;41;196
516;2;47;198
517;2;47;200
518;2;47;195
519;2;195;196
520;1;47
521;1;196
522;2;47;201
523;1;41
524;2;41;198
525;1;195
526;2;47;196
527;2;13;250
528;1;13
529;2;46;48
530;2;48;170
531;2;13;44
532;2;13;48
533;2;48;260
534;2;42;44
535;2;42;48
536;2;13;260
537;2;44;48
538;1;20
539;1;18
540;2;18;40
541;1;10
542;1;7
543;2;57;82
544;1;82
545;1;8
546;2;82;84
547;1;57
548;2;8;82
549;1;7
550;1;42
551;2;7;86
552;2;42;86
553;2;7;57
554;2;42;57
555;2;7;13
556;2;13;42
557;2;7;20
558;2;7;18
559;2;18;42
560;2;57;86
561;2;13;20
562;2;13;57
563;2;7;42
564;2;48;84
565;2;23;48
566;2;8;84
567;2;8;23
568;1;84
569;1;23
570;2;57;84
571;2;23;57
572;2;48;178
573;1;177
574;2;48;57
575;1;8
576;2;8;57
577;1;14
578;2;15;208
579;1;208
580;2;14;15
581;1;16
582;2;15;16
583;2;15;17
584;1;16
585;1;17
586;1;15
587;2;15;21
588;2;16;17
589;1;11
590;1;12
591;2;12;51
592;2;11;12
593;2;49;51
594;2;11;51
595;1;51
596;1;52
597;2;51;53
598;1;49
599;1;11
600;2;51;52
601;2;53;249
602;2;20;53
603;2;52;53
604;2;52;55
605;2;11;53
606;2;11;55
607;2;11;19
608;2;49;52
609;2;11;52
610;2;18;19
611;2;10;18
612;2;12;19
613;2;10;12
614;1;19
615;1;10
616;2;19;53
617;2;10;53
618;2;19;55
619;2;10;55
620;2;10;20
621;1;18
622;2;18;20
623;1;12
624;2;12;53
625;2;10;19
626;2;17;25
627;2;17;22
628;1;25
629;1;22
630;1;17
631;2;17;21
632;2;44;249
633;2;44;56
634;2;56;252
635;2;55;249
636;2;55;56
637;2;50;249
638;2;50;56
639;2;20;249
640;2;20;56
641;2;50;252
642;2;44;252
643;2;20;44
644;2;20;55
645;2;56;249
646;2;21;209
647;2;30;209
648;2;14;21
649;2;14;30
650;2;21;208
651;2;30;208
652;2;16;21
653;2;16;30
654;2;21;25
655;2;25;30
656;2;21;22
657;2;22;30
658;2;21;43
659;2;30;43
660;2;43;209
661;2;14;16
662;2;14;208
663;2;16;25
664;2;21;30
665;2;24;43
666;2;24;40
667;2;41;43
668;2;40;41
669;2;20;43
670;2;20;40
671;2;19;43
672;2;19;40
673;2;42;43
674;2;40;42
675;2;25;43
676;2;25;40
677;2;22;43
678;2;22;40
679;2;19;22
680;2;24;25
681;2;41;197
682;2;24;41
683;2;42;46
684;2;20;42
685;2;19;20
686;2;22;25
687;2;177;260
688;2;178;260
689;2;85;177
690;2;177;201
691;2;84;177
692;2;84;178
693;2;23;177
694;2;23;178
695;2;201;224
696;2;84;85
697;2;85;201
698;2;23;260
699;2;23;84
700;2;24;34
701;2;24;28
702;2;28;31
703;2;29;34
704;2;28;29
705;1;34
706;1;28
707;2;26;28
708;1;29
709;2;26;29
710;2;24;31
711;1;24
712;2;28;34
713;2;26;38
714;2;32;38
715;2;26;219
716;2;32;219
717;2;26;176
718;2;32;176
719;2;26;39
720;2;32;39
721;2;26;34
722;2;32;34
723;2;26;31
724;2;31;32
725;2;38;219
726;2;38;39
727;2;176;219
728;2;34;39
729;2;31;176
730;2;31;34
731;2;26;32
732;1;77
733;1;33
734;2;77;181
735;2;77;179
736;1;181
737;2;33;77
738;2;37;78
739;1;78
740;1;36
741;2;78;179
742;1;37
743;1;79
744;2;36;78
745;2;170;252
746;2;170;199
747;2;199;222
748;2;170;225
749;2;44;170
750;2;44;222
751;2;222;260
752;2;199;225
753;2;44;46
754;2;44;260
755;2;33;179
756;2;33;180
757;2;180;181
758;2;36;179
759;2;36;180
760;2;79;179
761;2;79;180
762;2;37;179
763;2;37;180
764;2;33;79
765;2;37;182
766;2;33;181
767;2;36;37
768;2;36;79
769;1;197
770;2;43;46
771;2;43;197
772;2;40;46
773;2;40;197
774;2;46;170
775;2;46;222
776;2;197;222
777;2;43;222
778;1;40
779;2;40;43
780;2;170;222
781;2;83;178
782;2;45;178
783;2;83;85
784;2;45;85
785;2;46;83
786;2;45;46
787;2;83;197
788;2;45;197
789;2;83;170
790;2;45;170
791;1;83
792;1;45
793;1;85
794;2;85;178
795;1;46
796;2;170;197
797;2;46;197
798;2;45;83
799;2;49;250
800;2;50;250
801;1;49
802;1;50
803;2;49;212
804;2;50;212
805;2;49;54
806;2;50;54
807;2;49;53
808;2;50;53
809;2;49;55
810;2;50;55
811;2;210;250
812;2;54;212
813;2;54;55
814;1;53
815;2;53;55
816;2;49;50
817;1;259
818;2;250;259
819;2;250;261
820;2;57;250
821;2;57;260
822;1;250
823;2;62;263
824;2;262;285
825;2;224;262
826;2;62;224
827;1;224
828;2;263;285
829;2;62;262
830;2;64;215
831;2;59;161
832;2;59;64
833;2;63;64
834;2;64;69
835;2;64;72
836;2;59;63
837;2;59;221
838;2;64;161
839;1;69
840;2;68;161
841;2;68;215
842;2;69;215
843;2;161;215
844;2;68;69
845;1;60
846;1;61
847;2;60;285
848;2;61;285
849;2;60;286
850;2;61;286
851;2;60;62
852;2;61;62
853;2;60;278
854;2;61;278
855;2;60;288
856;2;61;288
857;1;278
858;2;278;288
859;1;62
860;2;62;285
861;2;60;61
862;2;72;248
863;2;67;226
864;2;67;164
865;2;63;67
866;2;63;72
867;2;67;69
868;2;69;72
869;2;66;72
870;2;67;161
871;2;72;161
