Id;Num3DNeighbours;3DNeighbours
1724;2;209;252
1725;2;209;213
1726;2;211;256
1727;2;210;211
1728;2;210;212
1729;2;212;256
1730;2;212;256
1731;2;212;256
1732;2;213;252
1733;2;213;252
1734;2;213;222
1735;2;214;215
1736;2;214;215
1737;1;214
1738;1;215
1739;2;214;220
1740;2;215;221
1741;2;216;230
1742;2;216;230
1743;2;216;229
1744;2;216;229
1745;2;216;225
1746;2;217;218
1747;2;217;218
1748;2;218;219
1749;2;217;221
1750;2;217;252
1751;2;218;221
1752;2;218;221
1753;2;218;220
1754;2;219;252
1755;2;219;252
1756;2;220;221
1757;2;220;221
1758;2;222;252
1759;2;222;252
1760;2;222;225
1761;2;229;252
1762;2;224;285
1763;2;229;285
1764;2;225;229
1765;2;225;229
1766;2;223;269
1767;2;223;269
1768;2;223;247
1769;2;223;248
1770;2;223;248
1771;2;223;227
1772;2;224;286
1773;2;229;232
1774;2;224;225
1775;2;225;229
1776;2;229;286
1777;2;229;286
1778;2;229;286
1779;2;226;248
1780;2;226;227
1781;2;226;227
1782;2;226;227
1783;1;226
1784;1;227
1785;2;284;294
1786;1;294
1787;2;231;284
1788;2;227;248
1789;2;227;248
1790;2;228;257
1791;2;228;253
1792;2;253;257
1793;2;253;257
1794;2;254;258
1795;2;247;258
1796;2;254;258
1797;2;232;258
1798;2;254;289
1799;2;229;288
1800;2;229;288
1801;2;229;230
1802;2;230;288
1803;2;230;288
1804;2;230;231
1805;2;231;289
1806;2;231;289
1807;2;247;269
1808;2;232;289
1809;2;232;289
1810;2;233;243
1811;2;233;234
1812;2;233;234
1813;2;233;234
1814;2;234;269
1815;2;233;248
1816;2;234;243
1817;2;234;243
1818;2;234;244
1819;2;236;241
1820;2;236;241
1821;2;237;241
1822;2;236;268
1823;2;237;244
1824;2;237;244
1825;2;237;238
1826;2;236;244
1827;2;235;237
1828;2;235;236
1829;2;236;237
1830;2;236;237
1831;2;236;237
1832;2;238;244
1833;2;238;244
1834;2;238;243
1835;2;239;240
1836;2;240;241
1837;2;239;268
1838;2;240;268
1839;2;240;268
1840;2;240;242
1841;2;240;268
1842;2;241;268
1843;2;241;268
1844;2;242;268
1845;2;242;268
1846;2;242;246
1847;2;243;244
1848;2;243;244
1849;2;245;268
1850;2;245;268
1851;2;245;271
1852;2;245;246
1853;2;246;268
1854;2;246;268
1855;2;269;270
1856;2;269;271
1857;2;248;271
1858;2;269;271
1859;2;248;269
1860;2;247;248
1861;2;247;269
1862;2;248;269
1863;2;248;269
1864;2;251;252
1865;2;250;251
1866;2;249;250
1867;2;249;252
1868;2;251;252
1869;2;251;252
1870;2;251;261
1871;2;252;260
1872;2;251;255
1873;2;252;256
1874;2;272;273
1875;2;272;273
1876;2;272;274
1877;2;270;273
1878;2;253;254
1879;2;253;254
1880;2;253;268
1881;2;253;257
1882;2;254;269
1883;2;254;258
1884;2;255;257
1885;2;256;258
1886;2;255;256
1887;2;255;256
1888;2;255;256
1889;2;257;258
1890;2;257;258
1891;2;259;260
1892;2;259;260
1893;2;260;262
1894;2;259;263
1895;2;259;261
1896;2;260;261
1897;2;260;261
1898;2;262;263
1899;2;262;263
1900;1;262
1901;1;263
1902;2;264;266
1903;2;264;266
1904;2;264;276
1905;2;265;266
1906;2;264;265
1907;2;264;265
1908;2;264;298
1909;2;265;298
1910;2;265;298
1911;1;298
1912;1;265
1913;2;266;276
1914;2;266;276
1915;2;266;277
1916;2;267;271
1917;2;267;271
1918;2;267;268
1919;2;267;272
1920;2;269;271
1921;2;268;269
1922;2;268;269
1923;2;270;272
1924;2;270;272
1925;2;270;271
1926;2;271;272
1927;2;271;272
1928;2;273;274
1929;2;273;274
1930;2;273;275
1931;1;274
1932;1;275
1933;2;274;275
1934;2;274;275
1935;2;274;277
1936;2;274;275
1937;2;275;277
1938;2;275;277
1939;2;275;276
1940;2;276;277
1941;2;276;277
1942;2;279;281
1943;2;279;281
1944;2;278;281
1945;2;278;279
1946;2;279;280
1947;2;280;281
1948;2;280;281
1949;1;281
1950;1;280
1951;2;282;289
1952;2;282;289
1953;2;282;288
1954;2;282;293
1955;2;289;294
1956;2;283;284
1957;2;283;284
1958;2;283;292
1959;1;283
1960;2;284;294
1961;1;284
1962;2;285;289
1963;2;285;286
1964;2;286;288
1965;2;286;289
1966;2;286;289
1967;2;286;290
1968;2;289;291
1969;2;286;289
1970;2;287;297
1971;2;287;297
1972;2;287;296
1973;2;297;301
1974;2;287;300
1975;2;288;289
1976;2;288;289
1977;2;290;291
1978;2;290;291
1979;2;291;306
1980;2;290;307
1981;2;292;294
1982;2;292;294
1983;2;292;293
1984;2;293;294
1985;2;293;294
1986;2;300;304
1987;2;300;304
1988;2;300;305
1989;2;301;304
1990;2;295;299
1991;2;295;299
1992;2;295;298
1993;2;295;297
1994;2;296;297
1995;2;296;297
1996;2;296;299
1997;2;297;299
1998;2;297;299
1999;2;298;299
2000;2;298;299
2001;1;299
2002;1;298
2003;2;300;301
2004;2;300;301
2005;2;303;306
2006;2;302;303
2007;2;302;305
2008;2;305;307
2009;2;303;305
2010;2;303;305
2011;2;303;304
2012;2;303;305
2013;2;304;305
2014;2;304;305
2015;2;306;307
2016;2;306;307
