Id;Marker;Active;Origin;End
318;0;1;133;204
319;25;1;43;156
320;0;1;212;175
321;23;1;140;175
322;0;1;140;204
323;0;1;175;204
324;23;1;128;113
325;23;1;128;183
326;25;1;181;105
327;0;1;181;201
328;0;1;181;210
329;14;1;50;72
330;24;1;80;45
331;10;1;80;1
332;9;1;34;1
333;25;1;34;45
334;21;1;34;80
335;18;1;1;45
336;0;1;205;132
337;0;1;124;205
338;0;1;197;123
339;0;1;197;95
340;26;1;97;95
341;26;1;97;123
342;0;1;97;197
343;26;1;95;123
344;0;1;208;149
345;0;1;143;149
346;0;1;143;208
347;24;1;107;149
348;0;1;195;180
349;0;1;195;102
350;26;1;98;102
351;0;1;98;180
352;0;1;98;195
353;0;1;102;180
354;24;1;109;104
355;0;1;97;104
356;24;1;18;104
357;23;1;88;76
358;26;1;88;36
359;11;1;3;36
360;12;1;3;76
361;20;1;3;88
362;21;1;36;76
363;24;1;189;107
364;24;1;171;120
365;24;1;171;189
366;0;1;171;196
367;24;1;120;189
368;25;1;184;174
369;0;1;184;168
370;21;1;21;168
371;25;1;21;174
372;25;1;21;184
373;0;1;168;174
374;26;1;70;44
375;22;1;70;39
376;14;1;6;39
377;19;1;6;44
378;15;1;6;70
379;24;1;39;44
380;0;1;213;209
381;0;1;213;203
382;0;1;208;213
383;24;1;149;63
384;14;1;13;63
385;24;1;13;149
386;22;1;63;143
387;0;1;202;162
388;26;1;142;162
389;26;1;142;178
390;0;1;142;202
391;26;1;162;178
392;0;1;194;202
393;24;1;104;114
394;24;1;114;158
395;0;1;184;134
396;21;1;58;134
397;21;1;58;168
398;25;1;58;184
399;21;1;134;168
400;26;1;172;16
401;20;1;66;16
402;23;1;66;164
403;26;1;66;172
404;23;1;16;164
405;22;1;151;81
406;15;1;14;81
407;26;1;14;123
408;22;1;14;151
409;26;1;81;123
410;0;1;197;98
411;26;1;95;98
412;26;1;98;123
413;0;1;199;188
414;25;1;174;188
415;25;1;32;188
416;0;1;163;157
417;0;1;163;182
418;0;1;163;201
419;0;1;199;138
420;0;1;141;199
421;15;1;7;40
422;20;1;7;42
423;16;1;7;82
424;0;1;197;161
425;0;1;109;161
426;0;1;109;197
427;26;1;97;161
428;0;1;182;133
429;23;1;182;11
430;12;1;61;11
431;21;1;61;133
432;23;1;61;182
433;21;1;11;133
434;24;1;107;117
435;0;1;107;122
436;26;1;172;142
437;26;1;16;142
438;0;1;142;164
439;0;1;161;150
440;26;1;161;44
441;24;1;103;44
442;0;1;103;150
443;0;1;103;161
444;0;1;44;150
445;22;1;180;151
446;22;1;180;14
447;26;1;98;14
448;0;1;98;151
449;0;1;186;175
450;21;1;186;48
451;21;1;170;48
452;0;1;170;175
453;21;1;170;186
454;23;1;48;175
455;0;1;171;145
456;24;1;171;87
457;18;1;19;87
458;25;1;19;145
459;26;1;108;178
460;0;1;108;202
461;0;1;108;212
462;26;1;162;108
463;24;1;35;90
464;17;1;89;4
465;16;1;41;4
466;13;1;4;74
467;26;1;90;78
468;10;1;2;35
469;11;1;2;78
470;19;1;2;90
471;21;1;35;78
472;18;1;91;5
473;13;1;38;5
474;14;1;5;72
475;22;1;150;70
476;22;1;39;150
477;0;1;207;204
478;0;1;207;202
479;0;1;118;204
480;0;1;118;207
481;0;1;202;204
482;23;1;121;159
483;0;1;203;166
484;22;1;122;166
485;22;1;130;166
486;22;1;124;28
487;16;1;41;28
488;23;1;28;121
489;0;1;104;197
490;0;1;199;45
491;25;1;34;174
492;0;1;34;199
493;25;1;45;174
494;26;1;155;78
495;0;1;175;126
496;23;1;175;88
497;0;1;76;126
498;23;1;76;175
499;26;1;88;126
500;0;1;205;193
501;25;1;176;177
502;25;1;176;193
503;0;1;176;205
504;25;1;177;193
505;24;1;39;103
506;0;1;143;203
507;0;1;199;196
508;0;1;199;99
509;24;1;190;99
510;0;1;190;196
511;0;1;190;199
512;0;1;99;196
513;26;1;36;126
514;25;1;177;132
515;25;1;49;132
516;0;1;200;198
517;0;1;200;135
518;21;1;167;135
519;0;1;167;200
520;0;1;211;130
521;0;1;94;211
522;0;1;201;185
523;0;1;201;156
524;25;1;115;156
525;0;1;115;185
526;0;1;115;201
527;0;1;156;185
528;0;1;206;92
529;21;1;169;92
530;0;1;169;194
531;0;1;169;206
532;10;1;9;79
533;0;1;202;172
534;0;1;142;195
535;0;1;208;150
536;24;1;149;103
537;0;1;149;150
538;0;1;210;204
539;0;1;198;204
540;24;1;129;158
541;0;1;129;200
542;24;1;106;158
543;0;1;213;207
544;0;1;213;194
545;0;1;195;194
546;0;1;195;213
547;0;1;194;207
548;0;1;211;205
549;0;1;211;176
550;0;1;193;211
551;0;1;148;122
552;25;1;38;148
553;24;1;99;120
554;24;1;99;171
555;26;1;152;142
556;0;1;152;195
557;0;1;152;202
558;0;1;197;151
559;0;1;206;136
560;21;1;136;187
561;26;1;172;29
562;23;1;128;29
563;23;1;29;164
564;22;1;94;143
565;22;1;122;143
566;0;1;206;131
567;0;1;206;116
568;26;1;95;116
569;26;1;95;131
570;0;1;95;206
571;26;1;116;131
572;0;1;208;161
573;23;1;159;65
574;16;1;15;65
575;22;1;15;146
576;23;1;15;159
577;0;1;135;129
578;21;1;135;59
579;10;1;9;59
580;24;1;9;129
581;24;1;59;129
582;24;1;103;107
583;24;1;107;114
584;0;1;200;155
585;26;1;111;86
586;0;1;111;200
587;0;1;211;210
588;0;1;153;205
589;0;1;153;211
590;0;1;205;210
591;0;1;199;119
592;24;1;120;119
593;0;1;120;199
594;0;1;119;198
595;16;1;28;65
596;0;1;206;197
597;0;1;95;194
598;0;1;194;197
599;21;1;186;75
600;12;1;48;75
601;23;1;75;175
602;23;1;165;157
603;23;1;165;30
604;25;1;156;30
605;0;1;156;157
606;0;1;156;165
607;23;1;30;157
608;0;1;192;166
609;25;1;192;25
610;13;1;62;25
611;22;1;62;166
612;25;1;62;192
613;22;1;25;166
614;0;1;212;137
615;21;1;169;137
616;0;1;137;206
617;0;1;213;197
618;0;1;195;197
619;10;1;59;22
620;21;1;59;136
621;23;1;157;37
622;23;1;43;157
623;0;1;206;198
624;0;1;206;167
625;19;1;18;86
626;26;1;86;97
627;0;1;201;184
628;25;1;115;184
629;0;1;115;199
630;0;1;184;199
631;22;1;110;180
632;22;1;144;180
633;12;1;24;61
634;21;1;24;163
635;23;1;24;182
636;21;1;61;163
637;0;1;201;196
638;20;1;29;66
639;0;1;197;200
640;22;1;146;110
641;0;1;146;173
642;0;1;146;195
643;0;1;110;173
644;21;1;78;136
645;21;1;136;135
646;0;1;208;63
647;22;1;101;63
648;0;1;101;208
649;22;1;63;150
650;0;1;212;170
651;25;1;153;181
652;22;1;101;143
653;0;1;115;134
654;0;1;208;151
655;0;1;208;123
656;22;1;144;101
657;22;1;144;151
658;0;1;144;208
659;11;1;47;78
660;21;1;47;136
661;26;1;47;155
662;0;1;201;179
663;0;1;201;165
664;23;1;160;165
665;0;1;160;201
666;0;1;165;179
667;25;1;177;12
668;22;1;130;12
669;0;1;130;176
670;25;1;12;176
671;0;1;206;200
672;0;1;144;197
673;22;1;150;26
674;14;1;39;26
675;24;1;26;103
676;0;1;204;112
677;23;1;140;112
678;0;1;112;202
679;0;1;102;128
680;0;1;102;154
681;0;1;151;195
682;0;1;200;97
683;25;1;184;8
684;9;1;58;8
685;21;1;8;134
686;21;1;133;163
687;0;1;211;148
688;25;1;192;148
689;0;1;192;203
690;0;1;192;211
691;0;1;148;203
692;26;1;42;102
693;23;1;42;128
694;21;1;76;170
695;0;1;126;170
696;0;1;206;108
697;26;1;60;108
698;26;1;60;131
699;0;1;60;206
700;26;1;108;131
701;26;1;102;152
702;26;1;102;172
703;26;1;152;172
704;22;1;143;144
705;22;1;94;144
706;0;1;94;208
707;0;1;203;171
708;24;1;117;171
709;0;1;117;203
710;0;1;213;211
711;0;1;213;196
712;0;1;210;213
713;22;1;100;73
714;22;1;73;130
715;25;1;132;193
716;25;1;127;193
717;0;1;202;95
718;26;1;162;95
719;24;1;125;80
720;0;1;125;34
721;24;1;45;125
722;0;1;205;213
723;0;1;207;210
724;0;1;201;139
725;26;1;98;152
726;26;1;77;111
727;21;1;77;187
728;0;1;77;206
729;0;1;199;46
730;24;1;125;46
731;24;1;125;141
732;26;1;16;178
733;0;1;16;202
734;23;1;173;83
735;22;1;110;83
736;22;1;83;146
737;0;1;213;147
738;22;1;94;147
739;0;1;94;213
740;0;1;147;211
741;9;1;21;58
742;0;1;200;136
743;0;1;185;184
744;21;1;185;134
745;21;1;8;185
746;20;1;29;42
747;26;1;29;102
748;0;1;100;132
749;0;1;194;204
750;23;1;16;113
751;26;1;152;162
752;25;1;181;174
753;0;1;181;196
754;0;1;181;199
755;0;1;174;196
756;25;1;179;17
757;17;1;67;17
758;23;1;67;165
759;25;1;67;179
760;23;1;17;165
761;0;1;126;140
762;26;1;126;178
763;0;1;126;212
764;25;1;132;54
765;17;1;85;54
766;23;1;54;121
767;17;1;54;89
768;13;1;74;49
769;20;1;16;84
770;23;1;16;140
771;0;1;113;178
772;21;1;92;135
773;21;1;92;138
774;24;1;114;96
775;24;1;96;158
776;26;1;77;155
777;22;1;154;110
778;22;1;154;180
779;0;1;199;168
780;24;1;119;129
781;23;1;182;175
782;0;1;182;186
783;23;1;93;159
784;0;1;207;173
785;0;1;207;146
786;23;1;159;173
787;0;1;159;207
788;0;1;194;210
789;0;1;105;196
790;0;1;168;125
791;21;1;168;80
792;21;1;34;168
793;18;1;69;19
794;25;1;69;188
795;24;1;69;190
796;23;1;183;173
797;25;1;145;188
798;0;1;211;177
799;20;1;88;53
800;23;1;88;140
801;26;1;53;126
802;26;1;111;116
803;0;1;116;200
804;21;1;138;168
805;21;1;46;168
806;17;1;30;67
807;25;1;30;179
808;24;1;32;190
809;0;1;105;211
810;23;1;157;24
811;24;1;125;190
812;0;1;203;71
813;0;1;199;21
814;24;1;120;96
815;25;1;145;105
816;25;1;181;115
817;25;1;181;184
818;21;1;137;92
819;0;1;194;209
820;0;1;196;188
821;22;1;151;51
822;26;1;123;51
823;22;1;51;150
824;12;1;48;76
825;0;1;129;198
826;13;1;73;12
827;18;1;56;87
828;13;1;25;38
829;22;1;25;122
830;25;1;25;148
831;25;1;156;179
832;24;1;26;149
833;14;1;26;63
834;0;1;205;147
835;22;1;146;147
836;22;1;100;147
837;12;1;24;37
838;15;1;81;51
839;0;1;201;127
840;25;1;153;127
841;25;1;153;179
842;25;1;153;193
843;0;1;116;197
844;23;1;173;52
845;23;1;128;52
846;22;1;52;154
847;26;1;161;70
848;16;1;52;82
849;23;1;82;128
850;22;1;154;27
851;15;1;40;27
852;26;1;40;102
853;26;1;27;102
854;0;1;202;197
855;0;1;194;200
856;26;1;123;161
857;23;1;173;15
858;23;1;93;118
859;23;1;93;157
860;0;1;93;204
861;23;1;118;157
862;22;1;130;147
863;17;1;30;43
864;21;1;134;138
865;26;1;161;68
866;0;1;166;148
867;26;1;51;161
868;26;1;161;31
869;19;1;68;31
870;24;1;31;109
871;24;1;31;103
872;19;1;31;44
873;15;1;70;51
874;21;1;167;136
875;24;1;107;96
876;21;1;36;170
877;0;1;130;192
878;25;1;176;192
879;0;1;212;23
880;26;1;126;23
881;21;1;23;170
882;21;1;163;20
883;9;1;57;20
884;25;1;20;156
885;21;1;186;133
886;21;1;11;186
887;24;1;120;158
888;11;1;10;60
889;26;1;10;131
890;0;1;10;206
