Id;Marker;Active;Origin;End
0;9;1;0;1
1;9;1;1;2
2;9;1;2;3
3;9;1;3;4
4;9;1;4;5
5;9;1;5;6
6;9;1;6;7
7;9;1;7;8
8;9;1;8;9
9;9;1;9;10
10;9;1;10;11
11;9;1;11;12
12;9;1;12;13
13;9;1;13;14
14;9;1;14;15
15;9;1;15;16
16;9;1;16;17
17;9;1;17;18
18;9;1;18;19
19;9;1;19;20
20;9;1;20;21
21;14;1;10;22
22;14;1;22;23
23;14;1;23;24
24;14;1;24;25
25;14;1;25;26
26;14;1;26;27
27;14;1;27;28
28;14;1;28;29
29;14;1;29;30
30;0;1;32;34
31;0;1;33;34
32;11;1;31;33
33;8;1;31;32
34;0;1;34;36
35;0;1;36;37
36;0;1;35;37
37;11;1;33;35
38;0;1;38;39
39;0;1;36;39
40;8;1;32;38
41;0;1;40;41
42;0;1;41;42
43;0;1;39;42
44;8;1;38;40
45;0;1;43;44
46;0;1;44;45
47;0;1;41;45
48;8;1;40;43
49;0;1;44;2
50;8;1;43;0
51;0;1;46;4
52;0;1;45;46
53;11;1;35;47
54;0;1;37;49
55;0;1;49;50
56;0;1;48;50
57;0;1;47;48
58;0;1;42;51
59;0;1;49;51
60;0;1;51;52
61;0;1;52;54
62;0;1;53;54
63;0;1;50;53
64;0;1;46;55
65;0;1;52;55
66;0;1;55;57
67;0;1;57;58
68;0;1;56;58
69;0;1;54;56
70;0;1;57;6
71;0;1;59;60
72;0;1;59;61
73;11;1;47;61
74;0;1;48;60
75;0;1;53;62
76;0;1;60;62
77;0;1;59;63
78;0;1;62;64
79;0;1;64;65
80;0;1;63;65
81;0;1;56;66
82;0;1;64;66
83;0;1;58;68
84;0;1;68;69
85;0;1;67;69
86;0;1;66;67
87;0;1;68;9
88;11;1;61;70
89;0;1;63;71
90;0;1;70;71
91;11;1;70;72
92;0;1;71;74
93;0;1;73;74
94;0;1;72;73
95;0;1;65;75
96;0;1;75;76
97;0;1;74;76
98;0;1;75;77
99;0;1;67;77
100;0;1;77;79
101;0;1;79;80
102;0;1;78;80
103;0;1;76;78
104;0;1;81;82
105;0;1;79;82
106;0;1;69;81
107;0;1;81;12
108;0;1;83;15
109;0;1;82;83
110;0;1;84;85
111;11;1;72;85
112;0;1;73;86
113;0;1;84;86
114;0;1;78;87
115;0;1;86;87
116;0;1;80;89
117;0;1;89;90
118;0;1;88;90
119;0;1;87;88
120;0;1;83;91
121;0;1;89;91
122;0;1;91;94
123;0;1;93;94
124;0;1;92;93
125;0;1;90;92
126;0;1;94;18
127;0;1;95;97
128;10;1;96;97
129;11;1;85;96
130;0;1;84;95
131;0;1;95;99
132;0;1;99;100
133;0;1;98;100
134;10;1;97;98
135;0;1;88;99
136;0;1;101;102
137;10;1;98;102
138;0;1;100;101
139;0;1;92;101
140;0;1;93;103
141;10;1;102;103
142;10;1;103;21
143;12;1;0;104
144;12;1;104;105
145;12;1;105;106
146;12;1;106;107
147;12;1;107;108
148;12;1;108;109
149;0;1;1;110
150;0;1;110;111
151;0;1;111;112
152;0;1;112;113
153;0;1;113;114
154;0;1;114;115
155;0;1;3;116
156;0;1;116;117
157;0;1;117;118
158;0;1;118;119
159;0;1;119;120
160;0;1;120;121
161;0;1;5;122
162;0;1;122;123
163;0;1;123;124
164;0;1;124;125
165;0;1;125;126
166;0;1;126;127
167;0;1;7;128
168;0;1;128;129
169;0;1;129;130
170;0;1;130;131
171;0;1;131;132
