Id;Marker;Active;Origin;End
0; 0; 1; 59; 20
1; 0; 1; 20; 60
2; 0; 1; 60; 59
3; 0; 1; 64; 62
4; 0; 1; 62; 63
5; 0; 1; 63; 64
6; 0; 1; 32; 63
7; 0; 1; 63; 24
8; 0; 1; 24; 32
9; 0; 1; 73; 53
10; 0; 1; 53; 54
11; 0; 1; 54; 73
12; 0; 1; 61; 21
13; 1; 1; 21; 22
14; 0; 1; 22; 61
15; 0; 1; 94; 83
16; 0; 1; 83; 68
17; 0; 1; 68; 94
18; 0; 1; 22; 62
19; 0; 1; 62; 61
20; 0; 1; 80; 58
21; 0; 1; 58; 69
22; 0; 1; 69; 80
23; 0; 1; 41; 40
24; 0; 1; 40; 0
25; 0; 1; 0; 41
26; 0; 1; 33; 3
27; 1; 1; 3; 11
28; 0; 1; 11; 33
29; 0; 1; 36; 13
30; 1; 1; 13; 14
31; 0; 1; 14; 36
32; 0; 1; 81; 42
33; 0; 1; 42; 70
34; 0; 1; 70; 81
35; 0; 1; 51; 50
36; 0; 1; 50; 26
37; 0; 1; 26; 51
38; 0; 1; 49; 48
39; 0; 1; 48; 1
40; 0; 1; 1; 49
41; 0; 1; 49; 25
42; 0; 1; 25; 50
43; 0; 1; 50; 49
44; 0; 1; 32; 64
45; 0; 1; 38; 15
46; 1; 1; 15; 16
47; 0; 1; 16; 38
48; 0; 1; 66; 54
49; 0; 1; 54; 55
50; 0; 1; 55; 66
51; 0; 1; 58; 59
52; 0; 1; 59; 69
53; 1; 1; 25; 26
54; 0; 1; 52; 51
55; 0; 1; 51; 27
56; 0; 1; 27; 52
57; 0; 1; 54; 29
58; 1; 1; 29; 30
59; 0; 1; 30; 54
60; 0; 1; 57; 2
61; 1; 1; 2; 18
62; 0; 1; 18; 57
63; 1; 1; 0; 4
64; 0; 1; 4; 41
65; 1; 1; 26; 27
66; 0; 1; 18; 58
67; 0; 1; 58; 57
68; 0; 1; 55; 30
69; 1; 1; 30; 31
70; 0; 1; 31; 55
71; 0; 1; 91; 79
72; 0; 1; 79; 74
73; 0; 1; 74; 91
74; 1; 1; 20; 21
75; 0; 1; 21; 60
76; 1; 1; 22; 23
77; 0; 1; 23; 62
78; 1; 1; 18; 19
79; 0; 1; 19; 58
80; 0; 1; 34; 33
81; 0; 1; 11; 34
82; 0; 1; 35; 12
83; 1; 1; 12; 13
84; 0; 1; 13; 35
85; 0; 1; 39; 17
86; 0; 1; 17; 40
87; 0; 1; 40; 39
88; 0; 1; 53; 28
89; 1; 1; 28; 29
90; 0; 1; 29; 53
91; 1; 1; 27; 28
92; 0; 1; 28; 52
93; 1; 1; 17; 0
94; 0; 1; 84; 91
95; 0; 1; 74; 84
96; 0; 1; 56; 31
97; 1; 1; 31; 2
98; 0; 1; 2; 56
99; 0; 1; 56; 55
100; 0; 1; 66; 73
101; 0; 1; 46; 8
102; 1; 1; 8; 9
103; 0; 1; 9; 46
104; 0; 1; 37; 15
105; 0; 1; 38; 37
106; 0; 1; 45; 8
107; 0; 1; 46; 45
108; 0; 1; 80; 57
109; 0; 1; 45; 7
110; 1; 1; 7; 8
111; 0; 1; 72; 37
112; 0; 1; 38; 72
113; 0; 1; 36; 35
114; 0; 1; 61; 60
115; 0; 1; 74; 61
116; 0; 1; 62; 74
117; 0; 1; 57; 56
118; 0; 1; 82; 32
119; 0; 1; 32; 33
120; 0; 1; 33; 82
121; 0; 1; 76; 43
122; 0; 1; 43; 44
123; 0; 1; 44; 76
124; 0; 1; 56; 66
125; 0; 1; 47; 9
126; 1; 1; 9; 10
127; 0; 1; 10; 47
128; 0; 1; 47; 46
129; 0; 1; 48; 10
130; 1; 1; 10; 1
131; 0; 1; 48; 47
132; 0; 1; 42; 4
133; 1; 1; 4; 5
134; 0; 1; 5; 42
135; 0; 1; 42; 41
136; 0; 1; 43; 5
137; 1; 1; 5; 6
138; 0; 1; 6; 43
139; 0; 1; 43; 42
140; 0; 1; 71; 34
141; 0; 1; 34; 35
142; 0; 1; 35; 71
143; 1; 1; 1; 25
144; 0; 1; 63; 23
145; 1; 1; 23; 24
146; 1; 1; 11; 12
147; 0; 1; 12; 34
148; 0; 1; 37; 14
149; 1; 1; 14; 15
150; 0; 1; 37; 36
151; 0; 1; 77; 36
152; 0; 1; 37; 77
153; 0; 1; 65; 47
154; 0; 1; 48; 65
155; 0; 1; 76; 70
156; 0; 1; 70; 43
157; 0; 1; 82; 64
158; 0; 1; 53; 52
159; 0; 1; 78; 51
160; 0; 1; 52; 78
161; 1; 1; 24; 3
162; 0; 1; 3; 32
163; 0; 1; 44; 6
164; 1; 1; 6; 7
165; 0; 1; 7; 44
166; 0; 1; 59; 19
167; 1; 1; 19; 20
168; 0; 1; 45; 44
169; 0; 1; 67; 38
170; 0; 1; 38; 39
171; 0; 1; 39; 67
172; 0; 1; 95; 64
173; 0; 1; 82; 95
174; 0; 1; 79; 60
175; 0; 1; 61; 79
176; 0; 1; 39; 16
177; 1; 1; 16; 17
178; 0; 1; 64; 74
179; 0; 1; 92; 80
180; 0; 1; 69; 92
181; 0; 1; 81; 41
182; 0; 1; 40; 67
183; 0; 1; 75; 45
184; 0; 1; 46; 75
185; 0; 1; 65; 46
186; 0; 1; 91; 69
187; 0; 1; 69; 79
188; 0; 1; 83; 48
189; 0; 1; 49; 83
