Id;Marker;Active;Origin;End
318;0;1;116;123
319;0;1;117;124
320;24;1;118;125
321;23;1;126;133
322;0;1;127;134
323;0;1;128;135
324;0;1;129;136
325;0;1;130;137
326;0;1;131;138
327;24;1;132;139
328;23;1;133;140
329;0;1;134;141
330;0;1;135;142
331;0;1;136;143
332;0;1;137;144
333;0;1;138;145
334;24;1;139;146
335;23;1;140;147
336;0;1;141;148
337;0;1;142;149
338;0;1;143;150
339;0;1;144;151
340;0;1;145;152
341;24;1;146;153
342;23;1;147;154
343;0;1;148;155
344;0;1;149;156
345;0;1;150;157
346;0;1;151;158
347;0;1;152;159
348;24;1;153;160
349;23;1;154;161
350;0;1;155;162
351;0;1;156;163
352;0;1;157;164
353;0;1;158;165
354;0;1;159;166
355;24;1;160;167
356;23;1;168;175
357;0;1;169;176
358;0;1;170;177
359;0;1;171;178
360;0;1;172;179
361;0;1;173;180
362;24;1;174;181
363;23;1;175;182
364;0;1;176;183
365;0;1;177;184
366;0;1;178;185
367;0;1;179;186
368;0;1;180;187
369;24;1;181;188
370;23;1;182;189
371;0;1;183;190
372;0;1;184;191
373;0;1;185;192
374;0;1;186;193
375;0;1;187;194
376;24;1;188;195
377;23;1;189;196
378;0;1;190;197
379;0;1;191;198
380;0;1;192;199
381;0;1;193;200
382;0;1;194;201
383;24;1;195;202
384;23;1;196;203
385;0;1;197;204
386;0;1;198;205
387;0;1;199;206
388;0;1;200;207
389;0;1;201;208
390;24;1;202;209
391;16;1;210;217
392;22;1;211;218
393;22;1;212;219
394;22;1;213;220
395;22;1;214;221
396;22;1;215;222
397;14;1;216;223
398;16;1;217;224
399;22;1;218;225
400;22;1;219;226
401;22;1;220;227
402;22;1;221;228
403;22;1;222;229
404;14;1;223;230
405;16;1;224;231
406;22;1;225;232
407;22;1;226;233
408;22;1;227;234
409;22;1;228;235
410;22;1;229;236
411;14;1;230;237
412;16;1;231;238
413;22;1;232;239
414;22;1;233;240
415;22;1;234;241
416;22;1;235;242
417;22;1;236;243
418;14;1;237;244
419;16;1;238;245
420;22;1;239;246
421;22;1;240;247
422;22;1;241;248
423;22;1;242;249
424;22;1;243;250
425;14;1;244;251
426;17;1;0;42
427;25;1;1;43
428;25;1;2;44
429;25;1;3;45
430;25;1;4;46
431;25;1;5;47
432;18;1;6;48
433;23;1;7;49
434;0;1;8;50
435;0;1;9;51
436;0;1;10;52
437;0;1;11;53
438;0;1;12;54
439;24;1;13;55
440;23;1;14;56
441;0;1;15;57
442;0;1;16;58
443;0;1;17;59
444;0;1;18;60
445;0;1;19;61
446;24;1;20;62
447;23;1;21;63
448;0;1;22;64
449;0;1;23;65
450;0;1;24;66
451;0;1;25;67
452;0;1;26;68
453;24;1;27;69
454;23;1;28;70
455;0;1;29;71
456;0;1;30;72
457;0;1;31;73
458;0;1;32;74
459;0;1;33;75
460;24;1;34;76
461;20;1;35;77
462;26;1;36;78
463;26;1;37;79
464;26;1;38;80
465;26;1;39;81
466;26;1;40;82
467;19;1;41;83
468;17;1;42;84
469;25;1;43;85
470;25;1;44;86
471;25;1;45;87
